0,1,2,3,4,5
0,0-249,0-499,0-999,0-1999,*
10,0-249,0-499,0-999,0-1999,*
20,0-249,0-499,0-999,0-1999,*
30,0-249,0-499,0-999,0-1999,*
40,0-249,0-499,0-999,0-1999,*
50,0-249,0-499,0-999,0-1999,*
60,0-249,0-499,0-999,0-1999,*
70,0-249,0-499,0-999,0-1999,*
80,0-249,0-499,0-999,0-1999,*
90,0-249,0-499,0-999,0-1999,*
100,0-249,0-499,0-999,0-1999,*
110,0-249,0-499,0-999,0-1999,*
120,0-249,0-499,0-999,0-1999,*
130,0-249,0-499,0-999,0-1999,*
140,0-249,0-499,0-999,0-1999,*
150,0-249,0-499,0-999,0-1999,*
160,0-249,0-499,0-999,0-1999,*
170,0-249,0-499,0-999,0-1999,*
180,0-249,0-499,0-999,0-1999,*
190,0-249,0-499,0-999,0-1999,*
200,0-249,0-499,0-999,0-1999,*
210,0-249,0-499,0-999,0-1999,*
220,0-249,0-499,0-999,0-1999,*
230,0-249,0-499,0-999,0-1999,*
240,0-249,0-499,0-999,0-1999,*
250,250-499,0-499,0-999,0-1999,*
260,250-499,0-499,0-999,0-1999,*
270,250-499,0-499,0-999,0-1999,*
280,250-499,0-499,0-999,0-1999,*
290,250-499,0-499,0-999,0-1999,*
300,250-499,0-499,0-999,0-1999,*
310,250-499,0-499,0-999,0-1999,*
320,250-499,0-499,0-999,0-1999,*
330,250-499,0-499,0-999,0-1999,*
340,250-499,0-499,0-999,0-1999,*
350,250-499,0-499,0-999,0-1999,*
360,250-499,0-499,0-999,0-1999,*
370,250-499,0-499,0-999,0-1999,*
380,250-499,0-499,0-999,0-1999,*
390,250-499,0-499,0-999,0-1999,*
400,250-499,0-499,0-999,0-1999,*
410,250-499,0-499,0-999,0-1999,*
420,250-499,0-499,0-999,0-1999,*
430,250-499,0-499,0-999,0-1999,*
440,250-499,0-499,0-999,0-1999,*
450,250-499,0-499,0-999,0-1999,*
460,250-499,0-499,0-999,0-1999,*
470,250-499,0-499,0-999,0-1999,*
480,250-499,0-499,0-999,0-1999,*
490,250-499,0-499,0-999,0-1999,*
500,500-749,500-999,0-999,0-1999,*
510,500-749,500-999,0-999,0-1999,*
520,500-749,500-999,0-999,0-1999,*
530,500-749,500-999,0-999,0-1999,*
540,500-749,500-999,0-999,0-1999,*
550,500-749,500-999,0-999,0-1999,*
560,500-749,500-999,0-999,0-1999,*
570,500-749,500-999,0-999,0-1999,*
580,500-749,500-999,0-999,0-1999,*
590,500-749,500-999,0-999,0-1999,*
600,500-749,500-999,0-999,0-1999,*
610,500-749,500-999,0-999,0-1999,*
620,500-749,500-999,0-999,0-1999,*
630,500-749,500-999,0-999,0-1999,*
640,500-749,500-999,0-999,0-1999,*
650,500-749,500-999,0-999,0-1999,*
660,500-749,500-999,0-999,0-1999,*
670,500-749,500-999,0-999,0-1999,*
680,500-749,500-999,0-999,0-1999,*
690,500-749,500-999,0-999,0-1999,*
700,500-749,500-999,0-999,0-1999,*
710,500-749,500-999,0-999,0-1999,*
720,500-749,500-999,0-999,0-1999,*
730,500-749,500-999,0-999,0-1999,*
740,500-749,500-999,0-999,0-1999,*
750,750-999,500-999,0-999,0-1999,*
760,750-999,500-999,0-999,0-1999,*
770,750-999,500-999,0-999,0-1999,*
780,750-999,500-999,0-999,0-1999,*
790,750-999,500-999,0-999,0-1999,*
800,750-999,500-999,0-999,0-1999,*
810,750-999,500-999,0-999,0-1999,*
820,750-999,500-999,0-999,0-1999,*
830,750-999,500-999,0-999,0-1999,*
840,750-999,500-999,0-999,0-1999,*
850,750-999,500-999,0-999,0-1999,*
860,750-999,500-999,0-999,0-1999,*
870,750-999,500-999,0-999,0-1999,*
880,750-999,500-999,0-999,0-1999,*
890,750-999,500-999,0-999,0-1999,*
900,750-999,500-999,0-999,0-1999,*
910,750-999,500-999,0-999,0-1999,*
920,750-999,500-999,0-999,0-1999,*
930,750-999,500-999,0-999,0-1999,*
940,750-999,500-999,0-999,0-1999,*
950,750-999,500-999,0-999,0-1999,*
960,750-999,500-999,0-999,0-1999,*
970,750-999,500-999,0-999,0-1999,*
980,750-999,500-999,0-999,0-1999,*
990,750-999,500-999,0-999,0-1999,*
1000,1000-1249,1000-1499,1000-1999,0-1999,*
1010,1000-1249,1000-1499,1000-1999,0-1999,*
1020,1000-1249,1000-1499,1000-1999,0-1999,*
1030,1000-1249,1000-1499,1000-1999,0-1999,*
1040,1000-1249,1000-1499,1000-1999,0-1999,*
1050,1000-1249,1000-1499,1000-1999,0-1999,*
1060,1000-1249,1000-1499,1000-1999,0-1999,*
1070,1000-1249,1000-1499,1000-1999,0-1999,*
1080,1000-1249,1000-1499,1000-1999,0-1999,*
