0,1,2,3
Bachelors,University,Higher Education,*
Masters,University,Higher Education,*
Doctorate,University,Higher Education,*
Prof-school,University,Higher Education,*
HS-grad,High School,Lower Education,*
11th,High School,Lower Education,*
10th,High School,Lower Education,*
12th,High School,Lower Education,*
Some-college,College,Higher Education,*
Assoc-acdm,Associate Degree,Higher Education,*
Assoc-voc,Associate Degree,Higher Education,*
9th,Primary School,Lower Education,*
7th-8th,Primary School,Lower Education,*
5th-6th,Primary School,Lower Education,*
1st-4th,Primary School,Lower Education,*
Preschool,Primary School,Lower Education,*
