0,1,2,3,4,5,6
0,0-4999,0-9999,0-29999,0-59999,0-119999,*
100,0-4999,0-9999,0-29999,0-59999,0-119999,*
200,0-4999,0-9999,0-29999,0-59999,0-119999,*
300,0-4999,0-9999,0-29999,0-59999,0-119999,*
400,0-4999,0-9999,0-29999,0-59999,0-119999,*
500,0-4999,0-9999,0-29999,0-59999,0-119999,*
600,0-4999,0-9999,0-29999,0-59999,0-119999,*
700,0-4999,0-9999,0-29999,0-59999,0-119999,*
800,0-4999,0-9999,0-29999,0-59999,0-119999,*
900,0-4999,0-9999,0-29999,0-59999,0-119999,*
1000,0-4999,0-9999,0-29999,0-59999,0-119999,*
1100,0-4999,0-9999,0-29999,0-59999,0-119999,*
1200,0-4999,0-9999,0-29999,0-59999,0-119999,*
1300,0-4999,0-9999,0-29999,0-59999,0-119999,*
1400,0-4999,0-9999,0-29999,0-59999,0-119999,*
1500,0-4999,0-9999,0-29999,0-59999,0-119999,*
1600,0-4999,0-9999,0-29999,0-59999,0-119999,*
1700,0-4999,0-9999,0-29999,0-59999,0-119999,*
1800,0-4999,0-9999,0-29999,0-59999,0-119999,*
1900,0-4999,0-9999,0-29999,0-59999,0-119999,*
2000,0-4999,0-9999,0-29999,0-59999,0-119999,*
2100,0-4999,0-9999,0-29999,0-59999,0-119999,*
2200,0-4999,0-9999,0-29999,0-59999,0-119999,*
2300,0-4999,0-9999,0-29999,0-59999,0-119999,*
2400,0-4999,0-9999,0-29999,0-59999,0-119999,*
2500,0-4999,0-9999,0-29999,0-59999,0-119999,*
2600,0-4999,0-9999,0-29999,0-59999,0-119999,*
2700,0-4999,0-9999,0-29999,0-59999,0-119999,*
2800,0-4999,0-9999,0-29999,0-59999,0-119999,*
2900,0-4999,0-9999,0-29999,0-59999,0-119999,*
3000,0-4999,0-9999,0-29999,0-59999,0-119999,*
3100,0-4999,0-9999,0-29999,0-59999,0-119999,*
3200,0-4999,0-9999,0-29999,0-59999,0-119999,*
3300,0-4999,0-9999,0-29999,0-59999,0-119999,*
3400,0-4999,0-9999,0-29999,0-59999,0-119999,*
3500,0-4999,0-9999,0-29999,0-59999,0-119999,*
3600,0-4999,0-9999,0-29999,0-59999,0-119999,*
3700,0-4999,0-9999,0-29999,0-59999,0-119999,*
3800,0-4999,0-9999,0-29999,0-59999,0-119999,*
3900,0-4999,0-9999,0-29999,0-59999,0-119999,*
4000,0-4999,0-9999,0-29999,0-59999,0-119999,*
4100,0-4999,0-9999,0-29999,0-59999,0-119999,*
4200,0-4999,0-9999,0-29999,0-59999,0-119999,*
4300,0-4999,0-9999,0-29999,0-59999,0-119999,*
4400,0-4999,0-9999,0-29999,0-59999,0-119999,*
4500,0-4999,0-9999,0-29999,0-59999,0-119999,*
4600,0-4999,0-9999,0-29999,0-59999,0-119999,*
4700,0-4999,0-9999,0-29999,0-59999,0-119999,*
4800,0-4999,0-9999,0-29999,0-59999,0-119999,*
4900,0-4999,0-9999,0-29999,0-59999,0-119999,*
5000,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5100,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5200,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5300,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5400,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5500,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5600,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5700,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5800,5000-9999,0-9999,0-29999,0-59999,0-119999,*
5900,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6000,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6100,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6200,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6300,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6400,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6500,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6600,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6700,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6800,5000-9999,0-9999,0-29999,0-59999,0-119999,*
6900,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7000,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7100,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7200,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7300,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7400,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7500,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7600,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7700,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7800,5000-9999,0-9999,0-29999,0-59999,0-119999,*
7900,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8000,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8100,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8200,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8300,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8400,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8500,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8600,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8700,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8800,5000-9999,0-9999,0-29999,0-59999,0-119999,*
8900,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9000,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9100,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9200,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9300,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9400,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9500,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9600,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9700,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9800,5000-9999,0-9999,0-29999,0-59999,0-119999,*
9900,5000-9999,0-9999,0-29999,0-59999,0-119999,*
10000,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10100,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10200,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10300,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10400,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10500,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10600,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10700,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10800,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
10900,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11000,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
11100,10000-14999,10000-19999,0-29999,0-59999,0-119999,*
